web-scraper-order	web-scraper-start-url	问题名字	提问时间	提出的问题	提出的问题-href	name	answer
1574231374-224	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	BadSessionIdInvalid from Client	"#2790
            opened on 5 Jun by
            MarkusWeinand"	BadSessionIdInvalid from Client	https://github.com/open62541/open62541/issues/2790		"Thanks for providing the dump.
So I see two open connections.

Did you manually remove some of the response messages?

I only partially see the SecureChannel and session handshake.
Only the second WriteRequest returns a failure in the provided dump:

ServiceResult: 0x80270000 [BadSessionNotActivated]

But even before that the second open session is returning this on the publish requests:

ServiceResult: 0x800a0000 [BadTimeout]

So it seems whatever causes the problem, it translates from one open session to the other.

Have you tried to connect our client without the UAExpert at the same time?
Sometimes the Siemens OPC UA servers get problems if many connections are open at the same time.
We can continue debugging when we see all the response messages.

In total, there seems to be a lot going on in the network. Is this wifi?"
1574231710-395	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	Single file distribution compilation terminated.	"#2855
            opened on 29 Jun by
            mdeva2"	Single file distribution compilation terminated.	https://github.com/open62541/open62541/issues/2855		"For the single file distribution only use open62541.h

Or use the normal build and ‘make install’ to get the header files system wide."
1574231533-331	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Problem when using multiple DataSetReader	"#2817
            opened on 14 Jun by
            Fischer-Thomas"	Problem when using multiple DataSetReader	https://github.com/open62541/open62541/issues/2817		
1574231550-347	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Intel Compiler 18.1 crash when compiling amalgamation header/source under Linux	"#2823
            opened on 18 Jun by
            ebissonn"	Intel Compiler 18.1 crash when compiling amalgamation header/source under Linux	https://github.com/open62541/open62541/issues/2823		"We had to rewrote the namespace_0 initialization code to get it compiling under Intel 18.1

See out PR

#2824"
1574231409-243	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Processing the message failed with error BadOutOfMemory	"#2792
            opened on 5 Jun by
            MarineKing5248"	Processing the message failed with error BadOutOfMemory	https://github.com/open62541/open62541/issues/2792		Could you check if you encounter the problem with the code in #2408 ?
1574231652-386	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Performance measurement of Client/Server and Pub/Sub on VxWorks	"#2846
            opened on 26 Jun by
            kingalexsylvester"	Performance measurement of Client/Server and Pub/Sub on VxWorks	https://github.com/open62541/open62541/issues/2846	kingalexsylvester	
1574231533-332	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Problem when using multiple DataSetReader	"#2817
            opened on 14 Jun by
            Fischer-Thomas"	Problem when using multiple DataSetReader	https://github.com/open62541/open62541/issues/2817		if(pConnection->readerGroupsSize == 1) {
1574231834-439	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	Server does not persist the NodeId of a Node	"#2873
            opened on 9 Jul by
            GeorgeSellner"	Server does not persist the NodeId of a Node	https://github.com/open62541/open62541/issues/2873	GeorgeSellner	
1574231477-290	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Dependencies between CustomDataTypes in different UA_DataTypeArray not supported	"#2808
            opened on 12 Jun by
            TorbenD"	Dependencies between CustomDataTypes in different UA_DataTypeArray not supported	https://github.com/open62541/open62541/issues/2808		"That is a good idea and works if you have just dependencies between two data types.
The problem is that we have one basic customDataType and two more that both are using this but have no dependencies to each other. Than the problem with the names for the functions occurs again."
1574231914-500	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	Generated custom data-types inside a method call	"#2920
            opened on 24 Jul by
            starki93"	Generated custom data-types inside a method call	https://github.com/open62541/open62541/issues/2920		ua_generate_nodeset_and_datatypes(
1574231494-294	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	NamespaceArray looks good but Namespaces object doesn't match it	"#2810
            opened on 12 Jun by
            cpipero"	NamespaceArray looks good but Namespaces object doesn't match it	https://github.com/open62541/open62541/issues/2810	cpipero	
1574231652-387	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Performance measurement of Client/Server and Pub/Sub on VxWorks	"#2846
            opened on 26 Jun by
            kingalexsylvester"	Performance measurement of Client/Server and Pub/Sub on VxWorks	https://github.com/open62541/open62541/issues/2846		"@kingalexsylvester  Performance measurement in VxWorks isn’t yet in our open source roadmap. However, we have already taken performance measurements in Linux and can help you ramp up quickly in your environment with more details over a call. You can conne"
1574231618-377	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	"[OPCUA CLIENT]: ""UA_Client_getEndpoints""  return ""BadSecureChannelIdInvalid"""	"#2844
            opened on 26 Jun by
            elitezhu"	"[OPCUA CLIENT]: ""UA_Client_getEndpoints""  return ""BadSecureChannelIdInvalid"""	https://github.com/open62541/open62541/issues/2844		"@elitezhu We understand your constraint in sharing Wireshark traces. While we wait to receive your traces, could you share your open62541 client log with log configuration set at UA_LOGLEVEL=100 for both cases, i.e. the old PLC (working) and new PLC (not-"
1574231567-354	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Access control over endpoints	"#2829
            opened on 18 Jun by
            SebsSa"	Access control over endpoints	https://github.com/open62541/open62541/issues/2829		You can write your own accesscontrol see plugins/ua_accesscontrol_default.c. In the activateSession callback you get the endpoint data und use it to control the access of the session.
1574231800-430	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	OPC UA Pub/Sub over MQTT	"#2865
            opened on 3 Jul by
            canadyre"	OPC UA Pub/Sub over MQTT	https://github.com/open62541/open62541/issues/2865		"Hello @sohailmushtaq,

thank you for the answer. I see an issue with UA_ENABLE_PUBSUB_ETH_UADP . For the moment, as far as I see, UA_ENABLE_PUBSUB_ETH_UADP is available only for linux.

I am planing to use the code with freertos. But as first, I tried to use it on windows. So I guess I have a long journey to test it :)"
1574231477-292	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Dependencies between CustomDataTypes in different UA_DataTypeArray not supported	"#2808
            opened on 12 Jun by
            TorbenD"	Dependencies between CustomDataTypes in different UA_DataTypeArray not supported	https://github.com/open62541/open62541/issues/2808		"Yes that's right, but bsd2 is type_b and bsd3 is type_c"
1574231898-479	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	Compile freeRTOS with open62541 errors	"#2893
            opened on 18 Jul by
            mrburen121"	Compile freeRTOS with open62541 errors	https://github.com/open62541/open62541/issues/2893		"I solved the errors. Thank you for your help. I added some missing parameters to my header file.
When I add #2511 the functions:
void vApplicationMallocFailedHook(){
	for(;;){
		vTaskDelay(1000);
	}
}

void vApplicationStackOverflowHook( TaskHandle_t xTask, char *pcTaskName ){
	for(;;){
		vTaskDelay(1000);
	}
}

I get the error: undefined reference to `pdMS_TO_TICKS'. Does this mean I have some timing issues?
Also in the open62541.h file that I generated via cmake there is no function called

UA_ServerConfig_new_customBuffer. Is this changed in the newest version to UA_ServerConfig_setMinimalCustomBuffer?"
1574231898-484	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	Compile freeRTOS with open62541 errors	"#2893
            opened on 18 Jul by
            mrburen121"	Compile freeRTOS with open62541 errors	https://github.com/open62541/open62541/issues/2893		"Oke, thank you. It seems to be a memory problem.


Could this be solved when I implement realloc and calloc? I know this is not a open62541 problem but I hope you can help me. Do you have a sample of those implementations? I can't find one for heap 3 the freertos V10 demo folder."
1574231460-270	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	"PubSub Publisher example, not setting the DataSetMetaData"	"#2800
            opened on 8 Jun by
            cpipero"	"PubSub Publisher example, not setting the DataSetMetaData"	https://github.com/open62541/open62541/issues/2800		"@cpipero thanks for your feedback and detailed reports. As you already recognized, the pubsub metadata field is currently not supported. The DataSetMetaData should be created and updated by the pubsub core without any configuration.
One short comment to y"
1574231898-485	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	Compile freeRTOS with open62541 errors	"#2893
            opened on 18 Jul by
            mrburen121"	Compile freeRTOS with open62541 errors	https://github.com/open62541/open62541/issues/2893		"Hey guys, I am new to github so apologies if I am in the wrong thread. I am trying to set up open62541 as a opc server on stm F207. The tutorial for creating open62541.c and open62541.h works fine but after integrating these files into my stmCubeIDE Project i have about 30 compile errors left. I am pretty sure that I miss an include or something and maybe someone could give me a hint.
I am working with the latest master-branch, maybe this is my error? Thanks in advance for any help.
The Pictures shows the compile errors I have left:"
1574231898-467	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	Compile freeRTOS with open62541 errors	"#2893
            opened on 18 Jul by
            mrburen121"	Compile freeRTOS with open62541 errors	https://github.com/open62541/open62541/issues/2893	mrburen121	
1574231494-299	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	NamespaceArray looks good but Namespaces object doesn't match it	"#2810
            opened on 12 Jun by
            cpipero"	NamespaceArray looks good but Namespaces object doesn't match it	https://github.com/open62541/open62541/issues/2810		"Yes, so far the Namespaces object is not ""live"".

It may be generated for a build with ""full"" information model if the object instance is defined explicitly in Nodeset2.xml. But then it will be just the hull of an object that does not change as namespaces are added.
Contributors are invited to chip in here.

If nobody steps up, this looks like a feature that has to wait until we are done with the ""lower"", i.e. embedded, server profiles."
1574231290-203	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Trying to read variable value periodically and asynchronously	"#2773
            opened on 29 May by
            tuxroger"	Trying to read variable value periodically and asynchronously	https://github.com/open62541/open62541/issues/2773		"Hi,

In general, in OPC UA, if your data is not changing for long time (can be just data is not changing, or deadband settings filter them out), and you want anyway periodically receive latest values, then client can call method Objects/Server/ResendData.

It takes as argument subscription ID, and after calling it publish response(s) will be sent to the client with up to date values.

I tried to run this with the server_ctt application in open62541, but method call returns BadInternalError, probably it is not implemented yet.

Unified Automation demo server handles it properly (verified by Wireshark)."
1574231477-280	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Dependencies between CustomDataTypes in different UA_DataTypeArray not supported	"#2808
            opened on 12 Jun by
            TorbenD"	Dependencies between CustomDataTypes in different UA_DataTypeArray not supported	https://github.com/open62541/open62541/issues/2808	jpfr	
1574231516-306	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	How to create a certification and send this to server	"#2816
            opened on 14 Jun by
            AndyarcherReset"	How to create a certification and send this to server	https://github.com/open62541/open62541/issues/2816	AndyarcherReset	
1574231880-451	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	Event-based Subscriber OPCUA pubsub	"#2890
            opened on 17 Jul by
            canadyre"	Event-based Subscriber OPCUA pubsub	https://github.com/open62541/open62541/issues/2890	sohailmushtaq	
1574231914-507	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	Generated custom data-types inside a method call	"#2920
            opened on 24 Jul by
            starki93"	Generated custom data-types inside a method call	https://github.com/open62541/open62541/issues/2920		UA_Point *p = (UA_Point *)out.data;
1574231652-388	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Performance measurement of Client/Server and Pub/Sub on VxWorks	"#2846
            opened on 26 Jun by
            kingalexsylvester"	Performance measurement of Client/Server and Pub/Sub on VxWorks	https://github.com/open62541/open62541/issues/2846		"I calculated Min/Max/Avg by using simple clock_gettime( ) and counter loopback application, it seems to work fine and I am trying to validate the values on hardware using the below logic:
I created a loop app like below:
N1(Pub)>----------------->|N2(Sub)

-----|------------------------|--------

(Counter++)--------------- | if(diffValue){toggle_Pin0}------>Oscilloscope

-----|------------------------|--------

N1(Sub)<-----------------<|N2(Pub)
I shall share the snippet once this is validated. @opcua-tsn-team-kalycito I will reach to you if help needed."
1574231914-499	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	Generated custom data-types inside a method call	"#2920
            opened on 24 Jul by
            starki93"	Generated custom data-types inside a method call	https://github.com/open62541/open62541/issues/2920		
1574231340-212	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Updating nodes (deleting and adding nodes) during runtime from dedicated thread	"#2783
            opened on 4 Jun by
            Nik654"	Updating nodes (deleting and adding nodes) during runtime from dedicated thread	https://github.com/open62541/open62541/issues/2783		"Just to check if i got you right @ccvca
What you are suggesting is to create a mutex in my code which will make access to open62541 SDK serialized (thread-safe)?
I should do something like this:
std::mutex open62541Mutex;

THREAD 0: Thread where server loop is running
UA_StatusCode retval = UA_Server_run_startup(server);
if(retval != UA_STATUSCODE_GOOD)
    return retval;
while(*running) {
    open62541Mutex.lock();
    UA_Server_run_iterate(server, true);
    open62541Mutex.unlock();
}
return UA_Server_run_shutdown(server);

THREAD 1: Thread where delete and add of nodes is being called
open62541Mutex.lock();
UA_Server_deleteNode(server, requestedNewNodeId, deleteReferences);
UA_Server_addObjectNode(server, requestedNewNodeId, parentNodeId, referenceTypeId, browseName, typeDefinition, attr, nodeContext, outNewNodeId);
UA_Server_addVariableNode(server, requestedNewNodeId, parentNodeId, referenceTypeId, browseName, typeDefinition, attr, nodeContext, outNewNodeId);
UA_Server_setVariableNode_dataSource(server, requestedNewNodeId, dataSource);
open62541Mutex.unlock();"
1574231910-492	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	Get all changed monitored items of subscription at the same time	"#2913
            opened on 23 Jul by
            je1h"	Get all changed monitored items of subscription at the same time	https://github.com/open62541/open62541/issues/2913	schroeder-	
1574231618-376	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	"[OPCUA CLIENT]: ""UA_Client_getEndpoints""  return ""BadSecureChannelIdInvalid"""	"#2844
            opened on 26 Jun by
            elitezhu"	"[OPCUA CLIENT]: ""UA_Client_getEndpoints""  return ""BadSecureChannelIdInvalid"""	https://github.com/open62541/open62541/issues/2844		"@opcua-tsn-team-kalycito In the customer's plant, there's 3 same type PLCs. And two is existed, another is new added. The open62541 can't get the endpoint from the new one, but other two is OK. For the new one, UaExpert and C# core OPCUA lib can get the e"
1574231357-218	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Support for handling subscriptions & monitored items externally	"#2788
            opened on 5 Jun by
            lkaino"	Support for handling subscriptions & monitored items externally	https://github.com/open62541/open62541/issues/2788		"I don't have measurements on the CPU overhead, but one can assume that calculating hash for long strings is considerably slower compared to passing a monitoredItem pointer.
In our system all values are produced at fixed intervals: 10 ms, 100 ms and 1000 ms. I know the producing interval for each value, so if a client requests the item at a faster interval than it is being produced, I can revise the interval.
If a value is produced at 10 ms rate, but a client requests it at 1000 ms rate, I will sample it at 1000 ms. According to Nyquist theorem, the client would have to sample the value at half the interval the value is produced, which is wasting CPU cycles on the server.
Another example:

We have a value produced at 10 ms rate. Two clients connect to the server, one monitors the value at 10 ms and the other at 100 ms. Every 100 ms I would need to read the value from my data store twice, to serve both clients. If it would be possible for me to manage the monitored items myself, I would always sample the value once, but every tenth time I would provide the sample also for the slower client.
These optimizations might sound small, but in our system we have multiple connected clients with each one reading over 2000 nodes per second. When scaling up the CPU overhead starts to add up."
1574231357-216	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Support for handling subscriptions & monitored items externally	"#2788
            opened on 5 Jun by
            lkaino"	Support for handling subscriptions & monitored items externally	https://github.com/open62541/open62541/issues/2788	jpfr	
1574231340-207	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Updating nodes (deleting and adding nodes) during runtime from dedicated thread	"#2783
            opened on 4 Jun by
            Nik654"	Updating nodes (deleting and adding nodes) during runtime from dedicated thread	https://github.com/open62541/open62541/issues/2783	jpfr	
1574231426-245	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Can report.ci be helpful?	"#2793
            opened on 6 Jun by
            escherstair"	Can report.ci be helpful?	https://github.com/open62541/open62541/issues/2793	escherstair	
1574231567-356	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Access control over endpoints	"#2829
            opened on 18 Jun by
            SebsSa"	Access control over endpoints	https://github.com/open62541/open62541/issues/2829		"Unfortunately my abilities are not enough to understand the whole ""code"". Not to mention to find an answer to my question.
I have rummaged a bit and tried a lot but unfortunately I didn't find a solution...
Is there an example or a simple solution?

Something like :

..endpoint[0].setAccessLevel..
   for(int i = 0; i < config->endpointsSize; i++) 
    {
    if(config->endpoints[i].endpointDescription.securityMode == UA_MESSAGESECURITYMODE_NONE) 
        {   
           config->endpoints[i].setAccessLevel = ... (0,1,2)(readonly,writeRead,...)
        }
    }

!This is no real code!
It would be great if someone could recommend a helpful link to me. Thank you once in advance"
1574231477-277	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Dependencies between CustomDataTypes in different UA_DataTypeArray not supported	"#2808
            opened on 12 Jun by
            TorbenD"	Dependencies between CustomDataTypes in different UA_DataTypeArray not supported	https://github.com/open62541/open62541/issues/2808	TorbenD	
1574231533-324	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Problem when using multiple DataSetReader	"#2817
            opened on 14 Jun by
            Fischer-Thomas"	Problem when using multiple DataSetReader	https://github.com/open62541/open62541/issues/2817		
1574231533-339	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Problem when using multiple DataSetReader	"#2817
            opened on 14 Jun by
            Fischer-Thomas"	Problem when using multiple DataSetReader	https://github.com/open62541/open62541/issues/2817		
1574231800-425	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	OPC UA Pub/Sub over MQTT	"#2865
            opened on 3 Jul by
            canadyre"	OPC UA Pub/Sub over MQTT	https://github.com/open62541/open62541/issues/2865		"Hi,

Thank you for helping me find that @sohailmushtaq . So when running these examples with mqtt, do you still run tutorial_pubsub_publish, tutorial_pubsub_subscribe and then use tutorial_pubsub_mqtt as the broker?

Thanks!"
1574231903-490	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	Integrate CTT into CI	"#2894
            opened on 18 Jul by
            Pro"	Integrate CTT into CI	https://github.com/open62541/open62541/issues/2894	Pro	
1574231357-215	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Support for handling subscriptions & monitored items externally	"#2788
            opened on 5 Jun by
            lkaino"	Support for handling subscriptions & monitored items externally	https://github.com/open62541/open62541/issues/2788	lkaino	
1574231533-313	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Problem when using multiple DataSetReader	"#2817
            opened on 14 Jun by
            Fischer-Thomas"	Problem when using multiple DataSetReader	https://github.com/open62541/open62541/issues/2817	opcua-tsn-team-kalycito	
1574231533-318	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Problem when using multiple DataSetReader	"#2817
            opened on 14 Jun by
            Fischer-Thomas"	Problem when using multiple DataSetReader	https://github.com/open62541/open62541/issues/2817		
1574231357-217	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Support for handling subscriptions & monitored items externally	"#2788
            opened on 5 Jun by
            lkaino"	Support for handling subscriptions & monitored items externally	https://github.com/open62541/open62541/issues/2788		"This is inefficient when using other node ID types than numeric as a hash for the node ID needs to be calculated on every sample.

Hmm okay. Do you have some numbers on the increase in the CPU load?

That would be important to know to make a tradeoff decision.

When the monitored items are sampled from the server thread context, I cannot guarantee that each sample is recorded (assuming that the sampling interval is equal to the period on which the value is updated).

In general, to make sure you get all the updates, make the sampling interval just a bit faster than the update rate. Note that many clients can monitor the same value. All with different intervals and time offsets from the last sample.
What you propose would introduce a tight coupling between data generation and the clients. I don't think it is a good idea.
Also, the overhead can be quite large. If a process generates values at many kHz and a client monitors at 1/s, we'd have to check all the time when to actually take the sample. Or overwrite intermediate samples."
1574231914-508	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	Generated custom data-types inside a method call	"#2920
            opened on 24 Jul by
            starki93"	Generated custom data-types inside a method call	https://github.com/open62541/open62541/issues/2920		"At CMake file i used the following code:
option(UA_ENABLE_PUBSUB """" ON)
set(UA_NAMESPACE_ZERO FULL CACHE STRING """" FORCE)

set(open62541_TOOLS_DIR ""${CMAKE_CURRENT_SOURCE_DIR}/open62541/tools"")
set(open62541_NODESET_DIR ""${CMAKE_CURRENT_SOURCE_DIR}/open62541/deps/ua-nodeset"")


add_subdirectory(open62541)

ua_generate_nodeset_and_datatypes(
        NAME ""yr""
        FILE_CSV ""${CMAKE_CURRENT_SOURCE_DIR}/model/yrModel.csv""
        FILE_BSD ""${CMAKE_CURRENT_SOURCE_DIR}/model/yr.Types.bsd""
        NAMESPACE_IDX 2
        FILE_NS ""${CMAKE_CURRENT_SOURCE_DIR}/model/yr.NodeSet2.xml""
        OUTPUT_DIR ""${CMAKE_CURRENT_BINARY_DIR}/open62541/src_generated/open62541""
        INTERNAL
)
The method is added like this:
static void
addMethod(UA_Server *server) {
    UA_Argument inputArgument;
    UA_Argument_init(&inputArgument);

    inputArgument.description = UA_LOCALIZEDTEXT((char*)""en-US"", (char*)""set tool"");
    inputArgument.name = UA_STRING((char*)""input"");
    inputArgument.dataType = UA_TYPES_YR[UA_TYPES_YR_TOOLSTATE].typeId;
    inputArgument.valueRank = UA_VALUERANK_ONE_DIMENSION;

    UA_MethodAttributes helloAttr = UA_MethodAttributes_default;
    helloAttr.description = UA_LOCALIZEDTEXT((char*)""en-US"",(char*)""set tool"");
    helloAttr.displayName = UA_LOCALIZEDTEXT((char*)""en-US"",(char*)""set tool"");
    helloAttr.executable = true;
    helloAttr.userExecutable = true;

    UA_Server_addMethodNode(server, UA_NODEID_NUMERIC(1,1000),
                            UA_NODEID_NUMERIC(0, UA_NS0ID_OBJECTSFOLDER),
                            UA_NODEID_NUMERIC(0, UA_NS0ID_HASORDEREDCOMPONENT),
                            UA_QUALIFIEDNAME(1, (char*)""test method""),
                            helloAttr, &methodCallback,
                            1, &inputArgument, 0, nullptr, nullptr, nullptr);
}
And the callback is:
static UA_StatusCode
methodCallback(UA_Server *server,
                         const UA_NodeId *sessionId, void *sessionHandle,
                         const UA_NodeId *methodId, void *methodContext,
                         const UA_NodeId *objectId, void *objectContext,
                         size_t inputSize, const UA_Variant *input,
                         size_t outputSize, UA_Variant *output) {

    printf(""received command with input size:%lu \n"", inputSize);

    for(size_t i = 0; i < inputSize; i++) {
        printf(""typename: %s\n"", input[i].type->typeName);
    }

    return UA_STATUSCODE_GOOD;
}
I get the following output if i call this method with an arraysize 3:
[2019-07-25 09:18:35.762 (UTC+0200)] trace/network	Connection 5 | Activity on the socket
[2019-07-25 09:18:35.762 (UTC+0200)] trace/network	Connection 5 | Received a packet.
[2019-07-25 09:18:35.762 (UTC+0200)] trace/channel	Connection 5 | SecureChannel 1 | Decrypting chunk
[2019-07-25 09:18:35.762 (UTC+0200)] trace/channel	Connection 5 | SecureChannel 1 | Chunk size before and after decryption: 168, 168
[2019-07-25 09:18:35.762 (UTC+0200)] trace/channel	Connection 5 | SecureChannel 1 | Decrypted and verified chunk with request id 57 and sequence number 107
[2019-07-25 09:18:35.762 (UTC+0200)] trace/channel	Connection 5 | SecureChannel 1 | Sequence Number processed: 107
[2019-07-25 09:18:35.762 (UTC+0200)] trace/channel	Connection 5 | SecureChannel 1 | Process a MSG
[2019-07-25 09:18:35.762 (UTC+0200)] debug/session	Connection 5 | SecureChannel 1 | Session ns=1;g=cfd85efa-5d9d-cd24-bddb-5dd518919959 | Processing CallRequest
received command with input size:1 
typename: ExtensionObject"
1574231283-200	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Subscriber implementation not subscribing to timestamp?	"#2771
            opened on 29 May by
            theresa95"	Subscriber implementation not subscribing to timestamp?	https://github.com/open62541/open62541/issues/2771		@theresa95 Use the TranslateBrowsePathsToNodeIds Service to find the NodeId
1574231800-432	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	OPC UA Pub/Sub over MQTT	"#2865
            opened on 3 Jul by
            canadyre"	OPC UA Pub/Sub over MQTT	https://github.com/open62541/open62541/issues/2865		"Hi @kusumy, currently I'm writing the thesis it will be ready not before the first week of October. You can contact me and I will send you my final report.
Regards,
Sohail"
1574231652-384	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Performance measurement of Client/Server and Pub/Sub on VxWorks	"#2846
            opened on 26 Jun by
            kingalexsylvester"	Performance measurement of Client/Server and Pub/Sub on VxWorks	https://github.com/open62541/open62541/issues/2846	opcua-tsn-team-kalycito	
1574231460-263	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	"PubSub Publisher example, not setting the DataSetMetaData"	"#2800
            opened on 8 Jun by
            cpipero"	"PubSub Publisher example, not setting the DataSetMetaData"	https://github.com/open62541/open62541/issues/2800		@andreasebner Can you comment on this?
1574231460-254	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	"PubSub Publisher example, not setting the DataSetMetaData"	"#2800
            opened on 8 Jun by
            cpipero"	"PubSub Publisher example, not setting the DataSetMetaData"	https://github.com/open62541/open62541/issues/2800	cpipero	
1574231618-366	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	"[OPCUA CLIENT]: ""UA_Client_getEndpoints""  return ""BadSecureChannelIdInvalid"""	"#2844
            opened on 26 Jun by
            elitezhu"	"[OPCUA CLIENT]: ""UA_Client_getEndpoints""  return ""BadSecureChannelIdInvalid"""	https://github.com/open62541/open62541/issues/2844	opcua-tsn-team-kalycito	
1574231914-503	https://github.com/open62541/open62541/issues?page=4&q=is%3Aissue+is%3Aopen	Generated custom data-types inside a method call	"#2920
            opened on 24 Jul by
            starki93"	Generated custom data-types inside a method call	https://github.com/open62541/open62541/issues/2920		"How did you try to access your custom datatype?
If you followed the tutorial (which was written by me), you will end up with a NodeSet2.xml and a .bsd and .csv file.
You need these files as input for the nodeset compiler macro. An example is given here:

  
    
      open62541/examples/nodeset/CMakeLists.txt
    
    
         Line 46
      in
      b0971ef
    
    
    
    

        
          
           ua_generate_nodeset_and_datatypes( 
        
    
  


You normally need the FULL NS0 otherwise some parent nodes will be missing.
The macro will generate the necessary structs which you can directly use in the code, i.e., UA_ToolState.
E.g. see this code example here:


  
    
      open62541/examples/nodeset/server_testnodeset.c
    
    
         Line 47
      in
      b0971ef
    
    
    
    

        
          
           UA_Point *p = (UA_Point *)out.data; 
        
    
  


Does that answer your question?"
1574231460-265	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	"PubSub Publisher example, not setting the DataSetMetaData"	"#2800
            opened on 8 Jun by
            cpipero"	"PubSub Publisher example, not setting the DataSetMetaData"	https://github.com/open62541/open62541/issues/2800		Fixed in #2802. Can you confirm @cpipero ?
1574231533-337	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	Problem when using multiple DataSetReader	"#2817
            opened on 14 Jun by
            Fischer-Thomas"	Problem when using multiple DataSetReader	https://github.com/open62541/open62541/issues/2817		
1574231618-380	https://github.com/open62541/open62541/issues?page=5&q=is%3Aissue+is%3Aopen	"[OPCUA CLIENT]: ""UA_Client_getEndpoints""  return ""BadSecureChannelIdInvalid"""	"#2844
            opened on 26 Jun by
            elitezhu"	"[OPCUA CLIENT]: ""UA_Client_getEndpoints""  return ""BadSecureChannelIdInvalid"""	https://github.com/open62541/open62541/issues/2844		"@elitezhu, Thanks for the Wirehark trace, can you also share the client logs with log configuration set at UA_LOGLEVEL=100 for open62541 client in both cases? One case where open62541 client is connecting successfully with the older PLC and the other case"
